model,dataset,layers,step,perplexity,log_file
hard_2gram,babylm_10m,4-layer,167772160,156.351,hard_2gram_4_6_384_babylm_10m.log
hard_2gram,pile,4-layer,167772160,2811.262,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,335544320,1266.604,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,503316480,1091.615,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,671088640,1025.382,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,838860800,986.191,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,1006632960,970.043,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,1174405120,954.5,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,1342177280,941.388,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,1509949440,938.116,hard_2gram_4_6_384_pile.log
hard_2gram,pile,4-layer,1677721600,936.04,hard_2gram_4_6_384_pile.log
hard_3gram,babylm_100m,2-layer,168820736,359.703,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,337641472,131.196,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,506462208,113.932,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,675282944,106.646,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,844103680,102.566,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,1012924416,99.909,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,1181745152,98.09,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,1350565888,96.826,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,1519386624,96.027,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_100m,2-layer,1688207360,95.626,hard_3gram_2_4_256_babylm_100m.log
hard_3gram,babylm_10m,2-layer,16777216,1807.818,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,33554432,244.01,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,50331648,187.743,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,67108864,161.168,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,83886080,146.179,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,100663296,137.035,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,117440512,131.31,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,134217728,127.837,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,150994944,126.041,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,babylm_10m,2-layer,167772160,125.368,hard_3gram_2_4_256_babylm_10m.log
hard_3gram,pile,2-layer,167772160,3258.643,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,335544320,1144.914,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,503316480,826.042,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,671088640,706.755,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,838860800,642.589,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,1006632960,614.413,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,1174405120,591.113,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,1342177280,576.788,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,1509949440,571.846,hard_3gram_2_4_256_pile.log
hard_3gram,pile,2-layer,1677721600,569.245,hard_3gram_2_4_256_pile.log
hard_3gram,babylm_100m,4-layer,168820736,279.638,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,337641472,111.147,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,506462208,93.661,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,675282944,86.144,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,844103680,81.79,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,1012924416,78.84,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,1181745152,76.689,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,1350565888,75.112,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,1519386624,74.039,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_100m,4-layer,1688207360,73.466,hard_3gram_4_6_384_babylm_100m.log
hard_3gram,babylm_10m,4-layer,16777216,949.362,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,33554432,207.434,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,50331648,160.196,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,67108864,136.675,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,83886080,122.776,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,100663296,113.55,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,117440512,107.482,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,134217728,103.753,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,150994944,101.689,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,babylm_10m,4-layer,167772160,100.867,hard_3gram_4_6_384_babylm_10m.log
hard_3gram,pile,4-layer,167772160,2717.324,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,335544320,946.288,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,503316480,664.894,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,671088640,555.325,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,838860800,495.62,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,1006632960,468.268,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,1174405120,445.701,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,1342177280,431.847,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,1509949440,426.182,hard_3gram_4_6_384_pile.log
hard_3gram,pile,4-layer,1677721600,423.443,hard_3gram_4_6_384_pile.log
hard_5gram,babylm_100m,2-layer,168820736,341.693,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,337641472,118.137,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,506462208,98.805,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,675282944,90.718,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,844103680,86.285,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,1012924416,83.499,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,1181745152,81.642,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,1350565888,80.403,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,1519386624,79.638,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_100m,2-layer,1688207360,79.267,hard_5gram_2_4_256_babylm_100m.log
hard_5gram,babylm_10m,2-layer,16777216,1783.183,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,33554432,229.523,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,50331648,176.377,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,67108864,150.909,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,83886080,135.881,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,100663296,126.223,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,117440512,120.057,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,134217728,116.363,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,150994944,114.465,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,babylm_10m,2-layer,167772160,113.764,hard_5gram_2_4_256_babylm_10m.log
hard_5gram,pile,2-layer,167772160,3189.156,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,335544320,1079.489,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,503316480,750.023,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,671088640,620.499,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,838860800,551.788,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,1006632960,520.014,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,1174405120,495.629,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,1342177280,481.299,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,1509949440,476.056,hard_5gram_2_4_256_pile.log
hard_5gram,pile,2-layer,1677721600,473.692,hard_5gram_2_4_256_pile.log
hard_5gram,babylm_100m,4-layer,168820736,265.416,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,337641472,97.48,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,506462208,78.499,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,675282944,70.137,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,844103680,65.485,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,1012924416,62.496,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,1181745152,60.424,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,1350565888,58.983,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,1519386624,58.046,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_100m,4-layer,1688207360,57.565,hard_5gram_4_6_384_babylm_100m.log
hard_5gram,babylm_10m,4-layer,16777216,997.253,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,33554432,205.001,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,50331648,157.646,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,67108864,132.241,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,83886080,116.649,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,100663296,106.422,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,117440512,99.674,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,134217728,95.603,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,150994944,93.415,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,babylm_10m,4-layer,167772160,92.585,hard_5gram_4_6_384_babylm_10m.log
hard_5gram,pile,4-layer,167772160,2655.103,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,335544320,893.056,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,503316480,609.813,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,671088640,493.375,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,838860800,430.46,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,1006632960,400.039,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,1174405120,376.722,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,1342177280,363.182,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,1509949440,357.392,hard_5gram_4_6_384_pile.log
hard_5gram,pile,4-layer,1677721600,354.718,hard_5gram_4_6_384_pile.log
stickbreaking,babylm_100m,2-layer,168820736,171.147,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,337641472,32.482,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,506462208,23.759,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,675282944,20.582,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,844103680,18.875,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,1012924416,17.791,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,1181745152,17.058,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,1350565888,16.581,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,1519386624,16.303,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_100m,2-layer,1688207360,16.176,stickbreaking_2_4_256_babylm_100m.log
stickbreaking,babylm_10m,2-layer,16777216,1536.93,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,33554432,137.331,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,50331648,74.222,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,67108864,54.311,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,83886080,44.388,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,100663296,38.643,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,117440512,35.305,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,134217728,33.415,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,150994944,32.481,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,babylm_10m,2-layer,167772160,32.15,stickbreaking_2_4_256_babylm_10m.log
stickbreaking,pile,2-layer,167772160,2396.654,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,335544320,416.969,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,503316480,228.502,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,671088640,164.873,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,838860800,132.345,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,1006632960,115.496,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,1174405120,104.386,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,1342177280,98.034,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,1509949440,94.818,stickbreaking_2_4_256_pile.log
stickbreaking,pile,2-layer,1677721600,93.622,stickbreaking_2_4_256_pile.log
stickbreaking,babylm_100m,4-layer,168820736,130.093,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,337641472,29.815,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,506462208,21.13,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,675282944,17.537,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,844103680,15.465,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,1012924416,14.299,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,1181745152,13.591,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,1350565888,13.133,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,1519386624,12.852,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_100m,4-layer,1688207360,12.712,stickbreaking_4_6_384_babylm_100m.log
stickbreaking,babylm_10m,4-layer,16777216,793.466,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,33554432,116.017,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,50331648,66.31,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,67108864,49.344,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,83886080,40.622,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,100663296,35.419,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,117440512,32.202,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,134217728,30.311,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,150994944,29.308,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,babylm_10m,4-layer,167772160,28.932,stickbreaking_4_6_384_babylm_10m.log
stickbreaking,pile,4-layer,167772160,1910.909,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,335544320,347.029,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,503316480,189.23,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,671088640,135.337,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,838860800,107.288,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,1006632960,89.999,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,1174405120,75.682,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,1342177280,66.57,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,1509949440,62.122,stickbreaking_4_6_384_pile.log
stickbreaking,pile,4-layer,1677721600,60.641,stickbreaking_4_6_384_pile.log
transformer,babylm_100m,2-layer,168820736,140.282,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,337641472,29.085,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,506462208,23.098,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,675282944,20.751,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,844103680,19.42,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,1012924416,18.559,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,1181745152,17.97,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,1350565888,17.572,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,1519386624,17.325,transformer_2_4_256_babylm_100m.log
transformer,babylm_100m,2-layer,1688207360,17.204,transformer_2_4_256_babylm_100m.log
transformer,babylm_10m,2-layer,16777216,1465.145,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,33554432,110.164,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,50331648,60.101,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,67108864,44.858,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,83886080,37.385,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,100663296,33.297,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,117440512,30.909,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,134217728,29.513,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,150994944,28.804,transformer_2_4_256_babylm_10m.log
transformer,babylm_10m,2-layer,167772160,28.545,transformer_2_4_256_babylm_10m.log
transformer,pile,2-layer,167772160,2132.962,transformer_2_4_256_pile.log
transformer,pile,2-layer,335544320,371.529,transformer_2_4_256_pile.log
transformer,pile,2-layer,503316480,200.997,transformer_2_4_256_pile.log
transformer,pile,2-layer,671088640,145.024,transformer_2_4_256_pile.log
transformer,pile,2-layer,838860800,119.178,transformer_2_4_256_pile.log
transformer,pile,2-layer,1006632960,106.999,transformer_2_4_256_pile.log
transformer,pile,2-layer,1174405120,98.95,transformer_2_4_256_pile.log
transformer,pile,2-layer,1342177280,94.625,transformer_2_4_256_pile.log
transformer,pile,2-layer,1509949440,92.599,transformer_2_4_256_pile.log
transformer,pile,2-layer,1677721600,91.794,transformer_2_4_256_pile.log
transformer,babylm_100m,4-layer,168820736,120.257,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,337641472,27.613,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,506462208,19.59,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,675282944,16.479,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,844103680,15.034,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,1012924416,14.184,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,1181745152,13.623,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,1350565888,13.241,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,1519386624,12.998,transformer_4_6_384_babylm_100m.log
transformer,babylm_100m,4-layer,1688207360,12.873,transformer_4_6_384_babylm_100m.log
transformer,babylm_10m,4-layer,16777216,926.876,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,33554432,110.562,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,50331648,66.984,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,67108864,51.288,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,83886080,42.322,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,100663296,37.026,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,117440512,33.854,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,134217728,31.974,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,150994944,30.993,transformer_4_6_384_babylm_10m.log
transformer,babylm_10m,4-layer,167772160,30.626,transformer_4_6_384_babylm_10m.log
transformer,pile,4-layer,167772160,1676.767,transformer_4_6_384_pile.log
transformer,pile,4-layer,335544320,327.827,transformer_4_6_384_pile.log
transformer,pile,4-layer,503316480,183.766,transformer_4_6_384_pile.log
transformer,pile,4-layer,671088640,124.399,transformer_4_6_384_pile.log
transformer,pile,4-layer,838860800,85.202,transformer_4_6_384_pile.log
transformer,pile,4-layer,1006632960,65.641,transformer_4_6_384_pile.log
transformer,pile,4-layer,1174405120,56.25,transformer_4_6_384_pile.log
transformer,pile,4-layer,1342177280,51.734,transformer_4_6_384_pile.log
transformer,pile,4-layer,1509949440,49.731,transformer_4_6_384_pile.log
transformer,pile,4-layer,1677721600,49.057,transformer_4_6_384_pile.log
